/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Degradation', img_size=[160, 160, 160], vit_patches_size=[2, 2, 2], net_path='../model/TVD_Degradation[160, 160, 160]/TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234/epoch_0.pth', vit_name='Conv-ViT-B_16', pretrained_net_path='../model/TVD_Degradation[64, 64, 64]/TVD_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs48_lr0.01_seed1234/epoch_3.pth', is_encoder_pretrained=False, deterministic=1, max_epochs=4, batch_size=16, base_lr=0.01, seed=1234, is_savenii=False, test_save_dir='../predictions', gpu=4, batch_size_test=16, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, index=None, num_classes=2, volume_path='/work/sheidaei/mhashemi/data/deg', Dataset=<class 'datasets.dataset_3D.Degradation_dataset'>, list_dir='./lists/lists_Degradation', z_spacing=1, exp='TVD_Degradation[160, 160, 160]', distributed=False)
TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234
207 test iterations per epoch
name  145826 time 0.111111 dice_class1 0.957099 hd95_class1 1.000000
name  145826 time 0.138889 dice_class1 0.959316 hd95_class1 1.000000
name  145826 time 0.166667 dice_class1 0.960282 hd95_class1 1.000000
name  145826 time 0.194444 dice_class1 0.960985 hd95_class1 1.000000
name  145826 time 0.222222 dice_class1 0.962081 hd95_class1 1.000000
name  145826 time 0.250000 dice_class1 0.963125 hd95_class1 1.000000
name  145826 time 0.277778 dice_class1 0.965627 hd95_class1 1.000000
name  145826 time 0.305556 dice_class1 0.966391 hd95_class1 1.000000
name  145826 time 0.333333 dice_class1 0.967813 hd95_class1 1.000000
name  145826 time 0.361111 dice_class1 0.969095 hd95_class1 1.000000
name  145826 time 0.388889 dice_class1 0.970558 hd95_class1 1.000000
9it [03:54, 20.30s/it]name  145826 time 0.416667 dice_class1 0.971240 hd95_class1 1.000000
name  145826 time 0.444444 dice_class1 0.972848 hd95_class1 1.000000
name  145826 time 0.472222 dice_class1 0.973725 hd95_class1 1.000000
name  145826 time 0.500000 dice_class1 0.973505 hd95_class1 1.000000
name  145826 time 0.527778 dice_class1 0.975865 hd95_class1 1.000000
name  145826 time 0.555556 dice_class1 0.975995 hd95_class1 1.000000
name  145826 time 0.583333 dice_class1 0.976940 hd95_class1 1.000000
name  145826 time 0.611111 dice_class1 0.978528 hd95_class1 1.000000
name  145826 time 0.638889 dice_class1 0.978118 hd95_class1 1.000000
